ID,Description
0,"Canada Mortgage and Housing Corporation (CMHC) estimates the entire country will need to produce 3.53 million more homes than forecast between 2021 and 2030 in order for affordability to be restored.

This translates to increasing the total national housing supply to 22.1 million units instead of the 18.6 million units in the current trajectory. This figure accounts for both the expected population growth and creating affordability.

According to a new analysis by the federal crown corporation, meeting the higher figure would return to affordability levels last seen in 2003-2004, with British Columbia and Ontario combined accounting for two-thirds of the current 3.53 million gap.

For its share, BC needs to increase its pace by 570,000 units — elevating its total supply to 3.21 million units instead of 2.64 million units, along with a target of making 44% of these new homes affordable by technicality.

Ontario would need to generate 1.85 million units over the same period for a total of 8.56 million units instead of 6.71 million units, with 37% of the new supply deemed affordable.

Despite having a significantly higher population, Quebec’s gap of 620,000 units is similar to BC’s. Quebec needs to increase its housing supply to 5.19 million units instead of 4.57 million units, with 32% of the new homes deemed affordable. While Quebec’s home prices have traditionally been affordable, they have risen rapidly in recent years.

Of course, BC has had an affordability issue for decades, while Ontario had been relatively affordable until around 2010. Ontario’s poor affordability now matches BC, and as Canada’s largest province, this has pushed the nation’s overall affordability downwards.

“This estimate addresses both future demand increases and the current lack of affordability. In this approach, we target province-specific affordability ratios,” reads the analysis.

CMHC is urging levels of government to work with both for-profit and non-profit developers to generate the housing supply that is needed — and this goes for both rental housing and homeownership supplies.

Governments must make their regulatory systems faster and more efficient, while developers must become more productive and make full use of their land.

“Housing issues are complex and housing supply alone won’t fix housing affordability challenges for everyone. Continued government support for the most vulnerable and addressing housing inequities in the housing system are necessary to achieve affordability for all,” continues the analysis, otherwise an increasing proportion of disposable incomes will continue to go towards housing costs.

CMHC emphasizes the importance of the “filtering process” in housing supply, where more housing units created in the housing market will create opportunities for households to move into housing that better responds their needs, including pricing and housing tenure type, size of the home, and location.

“More and diverse supply across the housing system enables households to better match with housing they want – and can afford, rather than stretching their budgets to bid for living spaces in limited supply. Increasing housing supply to meet demands of middle-income Canadians means that house prices will move closer to their construction costs over time – and not driven by the cost of land,” reads the report.

However, in recent months, the inflation of construction costs relating to equipment, materials, and labour have been a real curveball for existing efforts to increase new housing supply. This includes significantly added costs and delays from supply chain issues, and ongoing pandemic-induced disruptions.

There is also a growing shortage of construction workers, especially in BC, where the number of construction workers per home under construction reached an all-time low of 3.3 in 2021. This is well below BC’s historical average of 6.1 construction workers per home under construction between 1996 and 2021. The 2021 construction worker-to-home ratio was 3.8 for Ontario, 4.5 for Quebec, and 8.4 for Alberta."
1,"With the benchmark price for all residential properties in BC currently over $1M, it can be a little disheartening when thinking about getting into the market.

But homeownership is a sure-fire way to create wealth, and, once you do become a property owner you’ll be in a better position to build enough equity to purchase another home down the line.

For first-time home buyers, it can be daunting when it comes to preparing to apply for a mortgage and shoring up the finances to buy a home. But what you may not be aware of are the numerous incentives accessible to first-time buyers — such as the opportunity to get $3K back when opting for a Prospera Credit Union mortgage.

To get the lowdown on what incentives are out there and discover how to get a mortgage approval, we spoke with Financial Solutions Manager at Prospera Credit Union, Barbara Mleczak.

Check out the first-time buyer incentives

The 2022 Federal budget included a range of measures to try and help Canadians buy their first home.

The First-Time Home Buyer Incentive (FTHBI) which allows eligible first-time homebuyers to lower their borrowing costs by sharing the cost of buying a home with the government, was extended to 2025.

Starting in 2023, a new Tax-Free First Home Savings Account will allow first-time homebuyers to save $8K per year to a maximum of $40K per person towards the purchase of a home — contributions would be tax-deductible (like an RRSP) and withdrawals will be non-taxable (like a TFSA).

The First-Time Home Buyers’ Tax Credit amount was doubled to $10,000 which will provide up to $1.5K in direct support to homebuyers who purchased on or after January 1, 2022.

Mleczak advises those looking to get into the market to also be aware they can also take advantage of property transfer tax exemptions, newly built home exemptions, and the Home Buyer’s Plan, where you can withdraw up to $35K from your RRSP to buy or build a home.

Ensure you are eligible

Eligibility criteria and the government incentives can change so Mleczak recommends always checking government websites for the most up-to-date information. And she strongly advises speaking to a qualified mortgage advisor before making financial commitments towards owning your home.

“[The FTHBI] is a complex program with certain eligibility requirements. For example, if you are purchasing in Vancouver or Victoria, your annual qualifying income can’t exceed $150K [and it applies to homes] that cost $675K or less,” she tells Daily Hive.

“You can look up homes in your pre-qualified price range through realtor.ca or you can ask your realtor to send you listings within your area of choice and budget range,” Mleczak says. “Realistically, you can still find one- and two-bedroom condos today within that price range in some areas of the Lower Mainland.”

Keep in regular contact with your realtor because new real estate listings come up daily.

Don’t use online mortgage calculators — speak to an expert

Rather than looking for mortgage tips on social media or using an online calculator, Mleczak recommends speaking to a mortgage expert who’s on top of the latest tips and tricks to help you succeed.

“Keep in mind that a lot of the online mortgage calculators will not take into consideration the stress test which will lower the mortgage amount you can qualify for,” she says.

Get your finances in order

A mortgage expert will examine your debt-to-income ratio, your net worth, and your credit history.

“I recommend keeping stable employment for at least two years prior to applying for a mortgage as it can strengthen your application significantly,” says Mleczak. “If you are self-employed, you will have ideally filed at least two years’ worth of tax returns.”

Your net worth is calculated by taking your total assets (e.g. cash and investments) and subtracting your liabilities (i.e. personal loans, credit cards, student loans, unpaid taxes, and mortgages). “Sadly, we won’t include designer handbags or shoes in this calculation,” says Mleczak.

Next comes your credit history — the importance of which Mleczak can’t emphasize enough.

“I don’t think we as teenagers were taught enough about the importance of maintaining a good credit score,” she says. “This is why it is important to start building a clean credit history as soon as you turn 19 in BC.”

Be prepared for closing costs

It’s not just the downpayment and the monthly mortgage payments you need to consider, but closing costs and renovations too.

“There are also various closing costs you may not be aware of such as mortgage default insurance premiums (if you are putting less than 20% down), home insurance premiums, moving costs, utility hook-up charges, title insurance, legal costs, and more.”

There could be other hidden costs too, like renovations.

“The general rule of thumb is that you should allow for a minimum of 1% of your purchase price for closing costs,” says Mleczak.

That’s why Prospera is offering a mortgage cash incentive of up to $3K for a limited time to assist with some of these costs.

Keep an open mind

Once you get a mortgage approval, Mleczak advises home seekers to “keep an open mind when searching for your first home.”

“I like to remind my members that your first home may not be your dream home. As you build equity and perhaps renovate, you may build enough equity room to purchase that dream home later down the road.”

All of Prospera’s mortgages are portable so you’ll have the flexibility to transfer that mortgage to a different property during your mortgage term.

“Be open to looking for a home that may require minor repairs/renovations and don’t be afraid to ask for help from family members,” says Mleczak, who often sees first-time buyers getting help from their parents."
2,"Someone asked me this week if young Canadians are simply “too addicted to debt.”

I will add that it was in the context of a discussion on the current state of our real estate market presently, you may have heard, in the midst of a “recalibration” following two years of absolutely mind-blowing activity that somehow carried us through a global pandemic.

The implication being that the Canadians now squeezed by gajillion dollar mortgages in the rising-rate-and-declining-value environment are essentially on par with that dude from high school who thinks it’s cool to spend the bulk of his monthly income on a leased Range Rover while living in a basement apartment complete with mattress on the floor.

It’s not the same.

People have been lamenting the mounting unaffordability of Toronto real estate for years and years and years, but it was really the pandemic market in which things descended into lunacy, with the House Price Index up by 62% at the peak from where it was just three years ago pre-pandemic.But now that we are rapidly coming down off of that February peak, the throngs of largely Millennial and Gen Z first-time buyers who somehow managed to get in by jumping in are now finding themselves the subject of scorn and ridicule.

Someone please make it make sense.

I would maybe understand it if we were limiting the discussion to the casual investors who driven by greed overleveraged themselves, but the keyboard critics don’t seem to make any distinction.

How many years have people been describing Toronto as a bubble waiting to burst? My friend’s parents thought it was a smart move to cash out at what they were absolutely certain was the peak in 2007 — that same home in midtown just traded last fall for three times what they sold for (and that’s following both the 2008 and 2017 downturns, thank you very much).

When a global pandemic didn’t actually burst the bubble but instead only served to accelerate it, buyers were quite literally watching the market outpace their capacity to save. Hence the FOMO — which may have been partially driven by a desire to catch the rock-bottom rates, but more so, I would argue, about not missing the moment and being priced out forever.

Do you know how many clients I have worked with that were waiting until finding a suitable home before starting a family? Who would have been thrilled with a condo if they could find one that was actually suitable for three human people including babies who sleep? Or wished that renting didn’t mean being at the mercy of a landlord that can sell your home out from under you pretty much at any moment?

These people I’m referring to weren’t casually day trading real estate, they were searching for a home, including all of the intangible, non-monetary benefits that comes alongside that security.

Those who purchased at what we now understand to be the peak of the market will almost universally acknowledge that they spent far more than they ever wanted to but found little alternative. Their budgets likely started out somewhere on the low end of what the bank preapproved but incrementally grew with each unsuccessful offer. Maybe they were fortunate and the Bank of Mom and Dad was able to pitch in. Or maybe they decided that cutting out Ubers and dinners out was worth it to make the numbers work. After all, let’s not forget that we have the stress test to keep us safe!

Sure, hindsight being 20/20 and all, it may be easy to Monday morning quarterback it, but the clear sense of delight detectable in the comments under pretty much any online article about this “correction” is enough to make me want to scream.

According to Oxford English Dictionary, the term schadenfreude refers to the “pleasure derived by someone from another person’s misfortune” And sure, there’s lots to unpack when looking at all that has transpired around us over the past two and a half years. But maligning a whole generation of young people who weren’t satisfied to be shut out of a fundamental human right ain’t it, friends. Please, oh please, redirect that scorn towards our politicians who created, sustained and tacitly approved of these appalling conditions in the first place."
3,"GTA rent prices in May saw the largest monthly hike in more than three years at 5.7 per cent as supply tightens and demand surges.

A new report by Bullpen Research & Consulting and TorontoRentals.com found the average monthly rent in the GTA increased by 16.5 per cent year-over-year, from $1,998 in May 2021 to $2,327 in May 2022. But rents in May are still slightly below pre-pandemic costs. In May 2019, the average rental was $2,365.

“Investor-owned condominiums led the way, experiencing significant annual growth of 25 per cent from May of last year,” said Ben Myers, president of Bullpen Research & Consulting, in a statement.

“High demand for downtown rental properties, coupled with less supply due to rate hikes and delayed occupancies of new projects as a result of labour stoppages and supply chain issues are all contributing factors to the rent inflation.”

The surge in demand also stems from immigration, students, and recent graduates moving out of their parents’ homes, the report said.

In addition, fewer people tend to move during uncertain economic times, and more would-be first-time homebuyers are deciding to stay on the sidelines and in rental housing, drying up supply, the report added.

Jordan Rasberry, co-founder and broker of Core Assets Real Estate, said he expects the rapid rise in rents to continue until September and October and then level out.

“This huge surplus of active tenants will have secured places and then (we) will return to a more normal ebb and flow in the rental market,” he said.

In May, Toronto had the highest average monthly rent for condo and apartments rentals at $2,438 a month, an annual increase of 19.8 per cent.

Burlington and Etobicoke followed closely, with average monthly rents of $2,233 and $2,263 per month respectively. From May 2021 to May 2022 Burlington saw an increase of 18.3 per cent and Etobicoke 17 per cent.

Next in line for average monthly rent for condo and apartment rentals were: Mississauga at $2,224, up 12.9 per cent year over year; Oshawa at $1,807, up 12.4 per cent annually; York at $2,083, up 12.2 per cent; Oakville at $2,299, up 11.2 per cent; North York at $2,102, up 10.2 per cent and East York at $1,898, up 8 per cent.

Vaughan was the only city with an annual decline in average rent for condo and apartment rentals, seeing rates decrease by 6.6 per cent to $2,072 per month.

In Toronto, Cabbagetown was the only market where rents are lower this year compared to last for condo and apartment rentals, a change the report says is due to a shift in the average unit size of rental listings. Last year’s average unit size was 742 square feet, dropping to 586 this year, the report said.

The change in the rental market in May is a marked shift from the pre-pandemic market and is more competitive now, said Rasberry.

In 2019, the rental market peaked in August and September and began to decline leading up to the pandemic. Once the pandemic began in March, rental prices continued to decline, he said.

“That pre-pandemic period between October 2019 and March 2020 was a much more relaxed rental market. Most properties were not receiving multiple offers and the average number of days on market was much higher than it currently is. Most good properties in the downtown core that have flexible showing schedules are currently leasing out in one to four days,” Rasberry said."
4,"Whether you're a purchaser or a renter, it's becoming next to impossible to afford a place to live in Toronto. And amid the worst inflation spike the country has witnessed in decades, your gas and grocery bills aren't the only expenses trending upward right now.

Greater Toronto Area (GTA) rents skyrocketed by 16.5 per cent year-over-year last month, leaping from $1,998 in May 2021 to $2,327 in just one year, according to the latest national rent report from Bullpen Research & Consulting and TorontoRentals.com.

It's a substantial increase in rent prices, made so much worse when you plug the last year of inflation into your math.

According to the Bank of Canada's inflation calculator, the current average rent of $2,327 is worth roughly $2,507 in 2021 dollars.

Once you've factored in inflation, that 16.5 per cent increase hits wallets more like an approximately 24.5 per cent jump.

On a month-over-month scale, rents increased by 5.7 per cent in May, representing the largest monthly spike in over three years, though still a few bucks below the May 2019 rental average of $2,365.

The highest increases in average monthly rent occurred in, you guessed it, the City of Toronto proper, where the typical rent surged by 19.8 per cent year over year in May to reach $2,438.

The Bay Street corridor was a scorching hot spot for rental prices, posting the highest averages in the GTA. Renting a typical home in the heart of the city will now cost you $2,764 per month, a 12 per cent increase over last year and a single percentage point above the highs seen in 2019.

Not too far behind was the Mississauga City Centre area, where condo and apartment rental prices saw an almost unbelievable 28 per cent jump year-over-year to $2,728 per month. Watch out Manhattan.

Experts point to rampant inflation as just one of many factors in rising prices, along with inflating interest rates, supply chain issues, and most importantly, an imbalance between the supply of housing and the fierce demand for units.

The report states that this supply drought is worsened by economic uncertainty, as ""fewer people tend to move during uncertain economic times, and more would-be first-time home buyers are deciding to stay on the sidelines and in rental housing, drying up supply."""
5,"The Los Angeles real estate market is showing signs of being affected by the rising levels of inflation and mortgage rates as the year progresses. 

New data from Core Logic shows that the real estate market sales in May of 2022 are possibly the worst in 34 years, dropping 16 percent from the heights of May of 2021, as reported by CBS. Sellers have also started cutting the listing prices because buyers are having difficulty with the increase in mortgage rates and the country’s rising inflation. This has made potential buyers much more cautious about jumping in on a sale. 

These price cuts, which are happening not just in Los Angeles, but all over the United States, are a warning sign that the real estate’s golden period may be coming to an end. Still, this doesn’t necessarily mean that home prices are dropping and even with the current conditions in the market, most home sales are still being purchased for more than the listing’s price. 

Core Logic has also reported that median monthly payments in Los Angeles have increased 40 percent from 2021 to 2022. Real estate experts blame this on the high prices of homes and mortgage rates for this occurrence according to CBS News.com. 

Yolanda Cortez, an L.A. area agent at Century 21 Realty Masters told the Los Angeles Times, “I have buyers who are now kind of at a standstill.” Cortez added that because of the interest rates rising, buyers who had other plans are being forced to consider areas like the Antelope or Victor valleys in the high desert which are 60 miles from the Los Angeles city center. 

All of this is causing a domino effect of fewer homes going into escrow, and a rising inventory of homes for sale which is causing sellers to have to make changes. The number of homes for sale that has reduced their listing prices has doubled in the last year. In fact, 16.2 percent of home listings in Los Angeles County have cut their price in the last four weeks. This is up from 7.5 in the same period last year.

Altos Research’s founder Michael Simonsen feels that even though there are buyers who are now priced out, he thinks that other buyers may have hit the pause button for different reasons. With inventory rising, those who can buy have decided not to which has caused a slowdown to become real. 

Simonsen said, as quoted by the Los Angeles Times, “Buyers know they can wait maybe until the summer and have more selection.”"
6,"ORANGE, Calif.—As the Federal Reserve continues to raise interest rates, economists say it would significantly lower demand in the housing market and impact local home prices.

According to the semiannual economic forecast recently released by Chapman University, economists predict Orange County’s median home price would fall by 12 percent down from $1,012,000 in mid-2022 to $891,000 a year after.

Average home prices are heavily dependent upon mortgage rates and housing appreciation will continue to decline for all four quarters of next year, according to the report.

Raymond Sfeir, director of the A. Gary Anderson Center for Economic Research and economics professor at Chapman, said he expects the 30-year fixed mortgage rate to reach 6.5 percent by the end of this year and can only go higher in 2023.

“The price is going to be a little bit lower at the end of the year and the beginning of next year. That’s a plus for the buyer. But if they wait that long, they’re going to pay more in mortgage rate,” he told The Epoch Times.

Whether homebuyers should buy a home now or wait until the home prices come down after several months, Sfeir said, it really depends on how much in loans they plan to take out. With the current trend, he said that potential homebuyers who are paying with cash should wait until the end of this year as they will not be affected by the high mortgage rates.

In terms of the rental market, he said it is “pretty bad” because apartment owners are now increasing the rent at a very high rate and puts people at risk of becoming homeless. However, the labor market is very robust, he said.

“Many people are going to continue to have a job and those who don’t have one can find one easily these days because demand is so high for workers,” Sfeir said.

For jobs, the average growth in Orange County this year is forecasted to be 5.1 percent versus 5.5 percent in California. However, the decline in population may negatively affect local businesses and services, according to Jim Doti, president emeritus and economics professor at Chapman.

At a Chapman’s June 23 Economic Forecast Update in Orange, California, Doti pointed out that the county is experiencing a drop in population annually and is seeing negative growth in the total population.

The population decline, Doti said, is neither due to low birth nor high death rates but domestic migration. In a three-year period from 2018 to 2020, Orange County has lost 2.4 percent of its population.

“More people are moving out of the county … we have found that the major loss in population is as you would expect, given that migration. Migration is leading to the loss. It’s people in the prime working-age from 25 to 44,” Doti said."
7,"”Survey says” looks at various rankings and scorecards judging geographic locations while noting these grades are best seen as a mix of artful interpretation and data.

Buzz: The pandemic era’s quickly cooling housing boom turned many cities where home-price gains have been the biggest into the markets where it’s more likely a wannabe seller is cutting their asking price.

Source: My trusty spreadsheet’s analysis of a Zillow report on May’s home-selling conditions in the nation’s 50 largest metro areas — concentrating what’s behind reductions in listing prices. The market clearly is softening, to use a polite phrase, as a combination of high prices and soaring mortgage rates created too many unaffordable options for house hunters.

Top line
In Los Angeles and Orange counties, 10% of homes listed for sale in May had reductions in the asking price — but that ranked only the 33rd highest share of the 50 metros. In the Inland Empire, 13% of listing had price cuts — 12th highest. Nationwide, price cuts were found on 12% of all listings vs. 8% in February.

May’s highest? New Orleans and Salt Lake City at 16%, and Sacramento at 15%. Fewest? Virginia Beach, Boston and San Jose at 8%.

Details
Look at the 50 metros, sliced into thirds by a ranking of price cuts.

Asking price reductions were more likely to occur where home values had greater appreciation. The 16 metros with the most price cuts had home values up an average 24% in a year vs. 18% in the 16 metros where price cuts are rarest. Sellers have may have misread the durability of recent price gains.

L.A.-O.C. had the No. 22 gain, up 21% over 12 months. The Inland Empire was No. 15 at 26%. Nationwide? 24%.

Raleigh and Tampa had the largest appreciation of the 50 at 37%, then Orlando at 33%. Smallest increases? Washington at 10%, Baltimore at 11%, Milwaukee and Pittsburgh at 12%.

Owners are adjusting prices more frequently as fewer sales contracts are signed. So-called “pending sales” fell an average 21% the past year in metros where the most price cuts fell vs. down 19% where price cuts were least seen.

L.A.-O.C. pending sales were down 24% in the last 12 months, and that was 13th biggest drop. The Inland Empire was off 17%, the 15th smallest dip. Nationwide? Off 20%.

Biggest falls is dealmaking were in Salt Lake City, down 38%, Miami, down 33%, and Hartford, down 31%.  Just two markets had gains in pending sales — Birmingham, up 6%, and Memphis, up 5%.

Bottom line
Some sellers are feeling the house hunter’s financial pain — and discounting their listings to meet shrinking demand.

Zillow estimated what monthly payment a buyer might get in May in each of the 50 metros — principal, interest, taxes and insurance for the typical home, assuming a 30-year fixed-rate loan with a 20% downpayment at 5.23% vs. the 2.96% rate of a year earlier.

Again, discounts followed bad news. Metros with the most price cuts had average hikes in projected payments of 52% vs. 44% where discounted listings were harder to find.

L.A.-O.C.’s payment jump was 52% — and it was only the 19th largest hike! The Inland Empire was No. 14 at 56%. Nationwide? 47%.

Raleigh topped this ranking at 70%. Then came Tampa at 66%, and Las Vegas at 65%.

Even the nation’s “smallest” payment leaps were scary. Milwaukee was 34% pricier over 12 months, Pittsburgh was up 35%, and Hartford and Minneapolis rose by 37%."
8,"Home purchases by investors recently declined in the top 10 U.S. cities by market share — including Tampa. Even so, data shows investors still hold almost 25% of the market share, or the total sales made in the market.
Investor purchases of homes in the greater Tampa Bay region declined 13% since last summer, according to new data released by real estate brokerage Redfin.

Taylor Marr, chief deputy economist at Redfin, said this could be an indicator that the housing market is stabilizing.

“So the entire housing market is cooling down. It's reacting, sort of backing off the high levels of demand that we had throughout the pandemic,” Marr said.

Tampa is among the top 10 U.S. cities by market share that saw a dip in investor purchases during the first quarter.

Records on housing sales and purchases from 40 counties across the country were part of Redfin’s data analysis. Investors were defined as buyers with the keywords ""LLC,"" ""Inc.,"" ""Trust,"" ""Corp"" or ""Homes"" in its name, according to the report.

In Tampa, investors bought 4,214 homes between January and March. That’s down from a record number of 5,065 homes last summer but still above pre-pandemic levels.

Even so, investors have been able to hold onto a 25% market share, or the proportion of total value in a certain market. This means even while buying less homes, investors have maintained the same amount of value in Tampa’s housing market.


Marr said the pullback on investor purchases in the housing market can be explained by the jump in mortgage interest rates, impacting demand, and higher borrowing costs.

“As a result, buyers are just priced out of the market and we’re seeing demand pull back,” he said. “And investors are not immune.”

Marr said it could be good news for individual homebuyers if there’s less investor competition in Tampa’s housing market.

“They behave differently than your typical mom-and-pop landlord,” he said.

The prevalence of investors can add upward pressure to the housing and renting markets: driving up home prices, the cost of rent and the rate of evictions. It’s also common for first-time homebuyers to get outbid by cash-based offers in an investor-heavy market.

Lei Wedge, an associate professor at USF’s Muma College of Business, said that in the last year 25% of all homes sold in Tampa were paid for in cash. She said that’s a large jump when compared to another peak year in the housing market, in 2006, when 8% of Tampa homes were bought in cash.

Less investor competition may be good news for homebuyers. But Wedge said there are other factors that make it hard to be a buyer in Tampa’s housing market.

“Yeah, you have less investors. You have fewer people buying. But the problem is…it’s going to be a lot more expensive for your mortgage,” she said.

Wedge explained that it will be easier for individual buyers to find a home. But it may be harder for them to afford it.

This is especially true considering the influx of people to the greater Tampa Bay region who are willing to pay higher rent and mortgages. Wedge predicts the market will ultimately end up catering to this population.

“I think what will happen is — eventually — the city’s going to squeeze the lower-income people out of the city,” she said.

On Chelsea Street in East Tampa, Antoinette Hayes-Triplett and realtor Melisha Patel stand outside of a home that's expected to close with the Tampa Hillsborough Housing Initiative by the end of the month.
CEO Antoinette Hayes-Triplett said that’s why the Tampa Hillsborough Housing Initiative is working to create innovative housing solutions for the community.

As part of its strategic plan, which was funded $4.7 million by Hillsborough County, THHI launched a shared housing initiative.

“The market has changed the way that we have to do business,” Hayes-Triplett said. “And we’re trying to be as flexible as possible and as creative as possible to make sure that people have housing.”

The shared housing initiative plans to provide 50 three- and four-bedroom homes in the Tampa community at a subsidized rent for people emerging from homelessness.

Last year, THHI purchased and repurposed two homes. Next week, it plans to close on two more homes on Chelsea Street in East Tampa. This comes after point-in-time data published earlier this month show a 4% jump in homelessness in Hillsborough County.

Hayes-Triplett said the initiative would like to amp up efforts, but the biggest roadblock is closing on contracts amid inflated home prices and investor competition in the market.

“Right now, it takes us 60 days to close. By that time, we’ve lost out to investors that are paying: in cash, site unseen, no appraisal, no inspections,” she said. “That’s the market that we’re dealing with.”"
9,"The cost of buying a home in Tampa Bay continued to increase in May, with the median sales price for single-family homes hitting $413,108 according to the latest data from Florida Realtors. That’s a 28.4% increase from last May.

Prices were up in every market across the state. The metro region that encompasses Naples, Immokalee and Marco Island saw the steepest year over year increase at 30.8% and had the highest median sale price at $850,000.

That growth may not last for long, though.

“May was still the peak time,” said Lei Wedge, a professor of finance at University of South Florida’s Muma College of Business. “But that data does not represent the future.”

She said the price of pending homes has already started to cool off and will likely drop further thanks to rising mortgage rates.

Sales last month in the Tampa-St. Petersburg-Clearwater market were down 7.5% percent from where they were the year before. Despite this, Tampa Bay led the state in single-family home sales this May, with 4,406 closed sales.

Trailing slightly behind was the Miami metro area (which includes Miami, Fort Lauderdale and West Palm Beach) with 4,151 closed sales on single-family homes. That’s down 15% from last year.

The number of active listings in Tampa Bay increased 34.7% from last May, but there was still only a one-month supply of inventory.

Wedge said the supply of homes is not likely to increase anytime soon and could possibly even decrease.

“There are lots of homeowners who wanted to sell their homes that may turn around now because they see prices dropping,” she said.

In order to compete in this tight market, many buyers are using cash offers to entice sellers. There were 1,390 cash sales last month, a 2.5% increase from May 2021."
